,id,counts
0,UCsvqVGtbbyHaMoevxPAq9Fg,0.27124384236453203
1,UCKWaEZ-_VweaEx1j62do_vQ,0.3315345071827869
2,UC8butISFwT-Wl7EV0hUK0BQ,0.25585916837329103
3,UCsBjURrPoezykLs9EqgamOA,0.004227998340131005
4,UCX6b17PVsYBQ0ip5gyeme-Q,0.22085410820438717
5,UCJS9pqu9BzkAMNTmzNMNhvg,0.14610777906647407
6,UCor_kFLwhSPubDOkuFFWNXA,0.24115558031591913
7,UCftwRNsjfRo08xYE31tkiyw,0.009226641344781347
8,UCWv7vMbMWH4-V0ZXdmDpPBA,0.0033822781611585113
9,UC68KSmHePPePCjW4v57VPQg,0.12119256463512873
10,UCEBb1b_L6zDS3xTUrIALZOw,0.008304105139536236
11,UCYO_jab_esuFRV4b17AJtAw,0.8129804267756942
12,UC4JX40jDee_tINbkjycV4Sg,0.1504143729514265
13,UCkw4JCwteGrDHIsyIIKo4tQ,0.119039378759191
14,UCY5NDinr2975LghozXAeTWQ,0.04890703880007632
15,UCtatfZMf-8EkIwASXM4ts0A,0.059672968179764974
16,UCYgL81lc7DOLNhnel1_J6Vg,0.0061509192635985045
17,UCBa5G_ESCn8Yd4vw5U-gIcg,0.5275294992228063
18,UCn8ujwUInbJkBhffxqAPBVQ,0.05598179239244315
19,UCpCSAcbqs-sjEVfk_hMfY9w,0.010457291015473966
20,UCLLw7jmFsvfIVaUFsLs8mlQ,0.06028816414431861
21,UCJIfeSCssxSC_Dhc5s7woww,0.36757854843886056
22,UCNU_lfiiWBdtULKOw6X0Dig,0.0895099724606164
23,UCFuIUoyHB12qpYa8Jpxoxow,0.039063903367218114
24,UCelp2mfpa0fors7HePAodoA,0.23223543623706028
25,UCBwmMxybNva6P_5VmxjzwqA,0.007381311192705779
26,UCkcqmxjMXaBb0kDWqqSEU1g,0.03629552152672674
27,UCeYUHG6o0YguM-g23htdsSw,0.0061509192635985045
28,UC9-y-6csu5WGm29I7JiwpnA,0.11381021306048508
29,UCMT1Aw4R4nf_sFNDeuJqc6w,1.0
30,UCHXa4OpASJEwrHrLeIzw7Yg,0.8660962209404165
31,UCF-uUxo43IPpnEwnR62WGlA,0.2307655245513289
32,UCWI-ohtRu8eEeDj93hmUsUQ,0.43447020971643996
33,UCh8IuVJvRdporrHi-I9H7Vw,0.17093617646087672
34,UCOMRpM5qmuNymhEaDe4Gkyw,0.0826166626130663
35,UC2C_jShtL725hvbm1arSV9w,1.0
36,UCV8e2g4IWQqK71bbzGDEI4Q,0.11657014935247585
37,UC9x0AN7BWHpCDHSm9NiJFJQ,0.2094668965339681
38,UCtYLUTtgS3k1Fg4y5tAhLbw,0.95081936913921
39,UCsxJ9QfYa6qRbSA7TYnxk1A,0.5919829143401126
40,UCJublDh2UsiIKsAE1553miw,1.0
41,UCnTwsAoqgyDVe5hxOmbMOiw,0.44618930933909595
42,UCEKI_F16hUtBHcw9tBtr24Q,0.2257149111612953
